NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,1,0,313
1,1,1,316
1,1,2,309
1,1,3,302
1,1,4,302
1,1,5,310
1,1,6,306
1,1,7,319
1,1,8,334
1,1,9,356
1,1,10,332
1,1,11,322
1,1,12,300
1,1,13,317
1,1,14,316
1,1,15,303
1,1,16,280
1,1,17,292
1,1,18,294
1,1,19,313
1,1,20,291
1,1,21,324
1,1,22,314
1,1,23,329
1,1,24,323
1,1,25,328
1,1,26,318
1,1,27,313
1,1,28,316
1,1,29,309
1,1,30,302
1,1,31,302
1,1,32,310
1,1,33,306
1,1,34,319
1,1,35,334
1,1,36,356
1,1,37,332
1,1,38,322
1,1,39,300
1,1,40,317
1,1,41,316
1,1,42,303
1,1,43,280
1,1,44,292
1,1,45,294
1,1,46,313
1,1,47,291
1,1,48,324
1,1,49,314
1,1,50,329
1,1,51,323
1,1,52,328
1,1,53,318
1,1,54,313
1,1,55,316
1,1,56,309
1,1,57,302
1,1,58,302
1,1,59,310
1,1,60,306
1,1,61,319
1,1,62,334
1,1,63,356
1,1,64,332
1,1,65,322
1,1,66,300
1,1,67,317
1,1,68,316
1,1,69,303
1,1,70,280
1,1,71,292
1,1,72,294
1,1,73,313
1,1,74,291
1,1,75,324
1,1,76,314
1,1,77,329
1,1,78,323
1,1,79,328
1,1,80,318
1,1,81,313
1,1,82,316
1,1,83,309
1,1,84,302
1,1,85,302
1,1,86,310
1,1,87,306
1,1,88,319
1,1,89,334
1,1,90,356
1,1,91,332
1,1,92,322
1,1,93,300
1,1,94,317
1,1,95,316
1,1,96,303
1,1,97,280
1,1,98,292
1,1,99,294
1,1,100,313
1,1,101,291
1,1,102,324
1,1,103,314
1,1,104,329
1,1,105,323
1,1,106,328
1,1,107,318
1,1,108,313
1,1,109,316
1,1,110,309
1,1,111,302
1,1,112,302
1,1,113,310
1,1,114,306
1,1,115,319
1,1,116,334
1,1,117,356
1,1,118,332
1,1,119,322
1,1,120,300
1,1,121,317
1,1,122,316
1,1,123,303
1,1,124,280
1,1,125,292
1,1,126,294
1,1,127,313
1,1,128,291
1,1,129,324
1,1,130,314
1,1,131,329
1,1,132,323
1,1,133,328
1,1,134,318
1,1,135,313
1,1,136,316
1,1,137,309
1,1,138,302
1,1,139,302
