NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,1,0,332
1,1,1,350
1,1,2,370
1,1,3,363
1,1,4,395
1,1,5,403
1,1,6,406
1,1,7,384
1,1,8,379
1,1,9,382
1,1,10,351
1,1,11,342
1,1,12,330
1,1,13,329
1,1,14,305
1,1,15,273
1,1,16,265
1,1,17,286
1,1,18,294
1,1,19,298
1,1,20,279
1,1,21,294
1,1,22,282
1,1,23,299
1,1,24,306
1,1,25,336
1,1,26,350
1,1,27,371
1,1,28,377
1,1,29,367
1,1,30,362
1,1,31,398
1,1,32,426
1,1,33,416
1,1,34,394
1,1,35,371
1,1,36,371
1,1,37,343
1,1,38,334
1,1,39,327
1,1,40,315
1,1,41,284
1,1,42,240
1,1,43,228
1,1,44,250
1,1,45,268
1,1,46,287
1,1,47,273
1,1,48,293
1,1,49,285
1,1,50,299
1,1,51,312
1,1,52,329
1,1,53,362
1,1,54,397
1,1,55,416
1,1,56,398
1,1,57,383
1,1,58,397
1,1,59,423
1,1,60,394
1,1,61,375
1,1,62,353
1,1,63,345
1,1,64,318
1,1,65,302
1,1,66,310
1,1,67,302
1,1,68,276
1,1,69,242
1,1,70,235
1,1,71,248
1,1,72,252
1,1,73,268
1,1,74,267
1,1,75,289
1,1,76,286
1,1,77,305
1,1,78,330
1,1,79,354
1,1,80,374
1,1,81,388
1,1,82,401
1,1,83,386
1,1,84,378
1,1,85,394
1,1,86,407
1,1,87,382
1,1,88,342
1,1,89,330
1,1,90,332
1,1,91,332
1,1,92,324
1,1,93,325
1,1,94,308
1,1,95,283
1,1,96,251
1,1,97,238
1,1,98,253
1,1,99,252
1,1,100,269
1,1,101,257
1,1,102,282
1,1,103,281
1,1,104,303
1,1,105,328
1,1,106,343
1,1,107,364
1,1,108,387
1,1,109,402
1,1,110,389
1,1,111,369
1,1,112,384
1,1,113,393
1,1,114,369
1,1,115,341
1,1,116,329
1,1,117,332
1,1,118,321
1,1,119,325
1,1,120,320
1,1,121,319
1,1,122,278
1,1,123,255
1,1,124,236
1,1,125,255
1,1,126,256
1,1,127,261
1,1,128,257
1,1,129,276
1,1,130,288
1,1,131,311
1,1,132,334
1,1,133,346
1,1,134,364
1,1,135,373
1,1,136,393
1,1,137,384
1,1,138,379
1,1,139,383
1,1,140,380
1,1,141,344
1,1,142,317
1,1,143,308
1,1,144,328
1,1,145,323
1,1,146,330
1,1,147,331
1,1,148,327
1,1,149,286
1,1,150,257
1,1,151,235
1,1,152,252
1,1,153,247
1,1,154,263
1,1,155,262
1,1,156,289
1,1,157,293
1,1,158,315
1,1,159,328
1,1,160,346
1,1,161,361
1,1,162,372
1,1,163,387
1,1,164,378
1,1,165,374
1,1,166,382
1,1,167,383
1,1,168,350
1,1,169,320
1,1,170,308
1,1,171,325
1,1,172,320
1,1,173,324
1,1,174,326
1,1,175,327
1,1,176,289
1,1,177,264
1,1,178,237
1,1,179,251
1,1,180,246
1,1,181,256
1,1,182,259
1,1,183,277
1,1,184,288
1,1,185,310
1,1,186,330
1,1,187,350
1,1,188,362
1,1,189,368
1,1,190,380
1,1,191,375
1,1,192,378
1,1,193,381
1,1,194,382
1,1,195,349
1,1,196,328
1,1,197,318
1,1,198,332
1,1,199,325
1,1,200,319
1,1,201,319
1,1,202,313
1,1,203,289
1,1,204,264
1,1,205,247
1,1,206,255
1,1,207,253
1,1,208,265
1,1,209,267
1,1,210,284
1,1,211,283
1,1,212,298
1,1,213,316
1,1,214,340
1,1,215,356
1,1,216,360
1,1,217,369
1,1,218,361
1,1,219,368
1,1,220,379
1,1,221,386
1,1,222,355
1,1,223,331
1,1,224,321
1,1,225,331
1,1,226,321
1,1,227,312
1,1,228,315
1,1,229,313
1,1,230,292
1,1,231,269
1,1,232,246
1,1,233,256
1,1,234,248
1,1,235,266
1,1,236,265
1,1,237,284
1,1,238,283
1,1,239,298
1,6,0,720
1,6,1,1170
