NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,1,0,313
1,1,1,316
1,1,2,309
1,1,3,201
1,1,4,93
1,1,5,0
1,1,6,101
1,1,7,209
1,1,8,407
1,1,9,543
1,1,10,651
1,1,11,559
1,1,12,419
1,1,13,317
1,1,14,316
1,1,15,219
1,1,16,105
1,1,17,0
1,1,18,84
1,1,19,175
1,1,20,378
1,1,21,499
1,1,22,627
1,1,23,534
1,1,24,442
1,1,25,644
1,1,26,627
1,1,27,514
1,1,28,93
1,1,29,0
1,1,30,0
1,1,31,0
1,1,32,0
1,1,33,101
1,1,34,209
1,1,35,407
1,1,36,543
1,1,37,968
1,1,38,875
1,1,39,638
1,1,40,105
1,1,41,0
1,1,42,0
1,1,43,0
1,1,44,0
1,1,45,84
1,1,46,175
1,1,47,378
1,1,48,499
1,1,49,1271
1,1,50,1161
1,1,51,956
1,1,52,93
1,1,53,0
1,1,54,0
1,1,55,0
1,1,56,0
1,1,57,0
1,1,58,0
1,1,59,0
1,1,60,101
1,1,61,1177
1,1,62,1282
1,1,63,1181
1,1,64,105
1,1,65,0
1,1,66,0
1,1,67,0
1,1,68,0
1,1,69,0
1,1,70,0
1,1,71,0
1,1,72,84
1,1,73,1446
1,1,74,1539
1,1,75,1455
1,1,76,93
1,1,77,0
1,1,78,0
1,1,79,0
1,1,80,0
1,1,81,0
1,1,82,0
1,1,83,0
1,1,84,0
1,1,85,1177
1,1,86,1282
1,1,87,1282
1,1,88,105
1,1,89,0
1,1,90,0
1,1,91,0
1,1,92,0
1,1,93,0
1,1,94,0
1,1,95,0
1,1,96,0
1,1,97,1446
1,1,98,1539
1,1,99,1539
1,1,100,93
1,1,101,0
1,1,102,0
1,1,103,0
1,1,104,0
1,1,105,0
1,1,106,0
1,1,107,0
1,1,108,0
1,1,109,1177
1,1,110,1282
1,1,111,1282
1,1,112,105
1,1,113,0
1,1,114,0
1,1,115,0
1,1,116,0
1,1,117,0
1,1,118,0
1,1,119,0
1,1,120,0
1,1,121,1446
1,1,122,1539
1,1,123,1539
1,1,124,93
1,1,125,0
1,1,126,0
1,1,127,0
1,1,128,0
1,1,129,0
1,1,130,0
1,1,131,0
1,1,132,0
1,1,133,1177
1,1,134,1282
1,1,135,1282
1,1,136,105
