NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,1,0,332
1,1,1,350
1,1,2,363
1,1,3,253
1,1,4,147
1,1,5,44
1,1,6,135
1,1,7,238
1,1,8,436
1,1,9,582
1,1,10,694
1,1,11,642
1,1,12,535
1,1,13,435
1,1,14,384
1,1,15,262
1,1,16,150
1,1,17,54
1,1,18,100
1,1,19,169
1,1,20,376
1,1,21,475
1,1,22,633
1,1,23,539
1,1,24,471
1,1,25,472
1,1,26,444
1,1,27,367
1,1,28,148
1,1,29,67
1,1,30,76
1,1,31,84
1,1,32,153
1,1,33,240
1,1,34,371
1,1,35,462
1,1,36,572
1,1,37,847
1,1,38,803
1,1,39,617
1,1,40,255
1,1,41,151
1,1,42,142
1,1,43,95
1,1,44,159
1,1,45,209
1,1,46,309
1,1,47,375
1,1,48,443
1,1,49,780
1,1,50,744
1,1,51,627
1,1,52,242
1,1,53,153
1,1,54,136
1,1,55,85
1,1,56,135
1,1,57,139
1,1,58,205
1,1,59,183
1,1,60,266
1,1,61,901
1,1,62,1036
1,1,63,965
1,1,64,342
1,1,65,196
1,1,66,182
1,1,67,125
1,1,68,156
1,1,69,163
1,1,70,188
1,1,71,169
1,1,72,223
1,1,73,778
1,1,74,900
1,1,75,851
1,1,76,299
1,1,77,170
1,1,78,161
1,1,79,111
1,1,80,133
1,1,81,125
1,1,82,166
1,1,83,152
1,1,84,184
1,1,85,863
1,1,86,1063
1,1,87,1055
1,1,88,379
1,1,89,183
1,1,90,188
1,1,91,141
1,1,92,157
1,1,93,124
1,1,94,167
1,1,95,145
1,1,96,183
1,1,97,731
1,1,98,897
1,1,99,897
1,1,100,346
1,1,101,163
1,1,102,160
1,1,103,103
1,1,104,129
1,1,105,103
1,1,106,180
1,1,107,180
1,1,108,225
1,1,109,833
1,1,110,1027
1,1,111,1038
1,1,112,419
1,1,113,205
1,1,114,181
1,1,115,119
1,1,116,134
1,1,117,98
1,1,118,178
1,1,119,173
1,1,120,217
1,1,121,717
1,1,122,878
1,1,123,890
1,1,124,352
1,1,125,180
1,1,126,138
1,1,127,107
1,1,128,121
1,1,129,116
1,1,130,182
1,1,131,201
1,1,132,248
1,1,133,805
1,1,134,981
1,1,135,1031
1,1,136,428
1,1,137,233
1,1,138,149
1,1,139,124
1,1,140,120
1,1,141,101
1,1,142,177
1,1,143,191
1,1,144,235
1,1,145,697
1,1,146,839
1,1,147,878
1,1,148,362
1,1,149,196
1,1,150,144
1,1,151,120
1,1,152,137
1,1,153,109
1,1,154,187
1,1,155,202
1,1,156,255
1,1,157,775
1,1,158,947
1,1,159,1003
1,1,160,417
1,1,161,244
1,1,162,150
1,1,163,152
1,1,164,126
1,1,165,113
1,1,166,179
1,1,167,204
1,1,168,250
1,1,169,683
1,1,170,812
1,1,171,856
1,1,172,360
1,1,173,218
1,1,174,148
1,1,175,138
1,1,176,125
1,1,177,107
1,1,178,178
1,1,179,200
1,1,180,239
1,1,181,762
1,1,182,929
1,1,183,1002
1,1,184,418
1,1,185,260
1,1,186,154
1,1,187,154
1,1,188,110
1,1,189,109
1,1,190,173
1,1,191,218
1,1,192,259
1,1,193,672
1,1,194,797
1,1,195,849
1,1,196,366
1,1,197,235
1,1,198,146
1,1,199,154
1,1,200,126
1,1,201,122
1,1,202,185
1,1,203,214
1,1,204,254
1,1,205,740
1,1,206,900
1,1,207,968
1,1,208,405
1,1,209,253
1,1,210,140
1,1,211,158
1,1,212,115
1,1,213,125
1,1,214,178
1,1,215,217
1,1,216,249
1,1,217,664
1,1,218,792
1,1,219,854
1,1,220,366
1,1,221,244
1,1,222,148
1,1,223,171
1,1,224,127
1,1,225,125
1,1,226,185
1,1,227,220
1,1,228,261
1,1,229,724
1,1,230,874
1,1,231,950
1,1,232,395
1,1,233,258
1,1,234,140
1,1,235,172
1,1,236,118
1,1,237,125
1,1,238,166
1,1,239,197
1,6,0,720
